Model,Quantity,Asset,MAE,RMSE,R2
ANP,Price,-,0.001632020058557202,0.0023795704302134713,0.999900704887801
ANP,Delta,0,0.009573092110503733,0.017147131684734654,0.9931287051929577
ANP,Delta,1,0.009485732802164857,0.01697111818176745,0.993230367058111
ANP,Delta,2,0.009571947492350226,0.016945146105528632,0.993381314238847
ANP,Vega,0,0.016099986265656265,0.02543586322382998,0.9829433196658863
ANP,Vega,1,0.016177317313029824,0.02561272168982304,0.9826770176013743
ANP,Vega,2,0.016023585688812854,0.025361939758337518,0.9831319103368555
DHN,Price,-,0.0027589311801941036,0.0035229766957917577,0.9999237106503936
DHN,Delta,0,0.0019548751516403934,0.0034558552563215615,0.9997702006649519
DHN,Delta,1,0.001861199128855304,0.0038054691580204723,0.9996940581268512
DHN,Delta,2,0.0023997032955871164,0.004573850788885599,0.9996022668359625
DHN,Vega,0,0.0039634558041413024,0.006363584483233238,0.9992335121512238
DHN,Vega,1,0.002427701849684539,0.003979591040837259,0.9996005418392109
DHN,Vega,2,0.0029450419301192223,0.0046753773962842134,0.9994841927966939
