rows,fd_time_sec_cum,aad_time_sec_cum,wall_time_sec_cum
10000,112.395940,38.140231,202.311172
20000,219.636613,74.254620,391.896959
30000,326.822141,110.380262,581.769078
40000,433.884526,146.455329,770.488281
50000,541.284643,182.688953,960.817245
60000,648.292197,218.717321,1150.011026
70000,756.342270,255.253783,1343.124589
80000,865.153830,292.031016,1538.114690
90000,972.759616,328.013160,1727.815272
100000,1083.376529,366.178604,1925.553359
110000,1195.279831,404.037081,2125.764129
120000,1307.338897,441.759527,2324.085019
130000,1418.066224,478.797548,2519.782117
140000,1527.759049,515.702978,2714.466873
150000,1637.383685,552.616968,2909.159799
160000,1747.102168,589.574207,3104.683747
170000,1856.758127,626.496911,3300.142680
180000,1966.529171,663.431501,3495.504576
190000,2076.652164,700.441955,3691.701470
200000,2186.627785,737.421291,3887.487339
210000,2296.322406,774.321551,4083.097262
220000,2405.910816,811.220769,4277.289662
230000,2515.746278,848.172450,4471.956828
240000,2625.653990,885.177994,4667.074036
250000,2735.203744,922.118574,4861.464804
260000,2844.989312,959.084585,5056.426719
270000,2954.873634,996.081761,5252.041605
280000,3064.577298,1033.042310,5447.028739
290000,3174.588250,1070.054053,5642.853184
300000,3284.423907,1107.036062,5838.406941
310000,3394.436595,1144.030698,6034.432453
320000,3503.546588,1180.508593,6227.063030
330000,3611.399182,1216.620117,6417.344324
340000,3719.603643,1252.800938,6608.566742
350000,3827.959635,1289.098570,6800.478494
360000,3935.657859,1325.118071,6990.346721
370000,4043.632924,1361.239956,7180.928793
380000,4151.489606,1397.326037,7371.967119
390000,4259.248912,1433.345538,7562.639794
400000,4368.142844,1469.397709,7754.510314
410000,4475.931024,1505.402802,7945.356219
420000,4583.586484,1541.422944,8135.022869
430000,4691.068328,1577.410211,8324.459660
440000,4798.665785,1613.400817,8513.999407
450000,4906.167049,1649.380780,8703.487482
460000,5013.770481,1685.370324,8893.175495
470000,5123.745006,1722.403947,9088.337039
480000,5234.614897,1760.116520,9285.490429
490000,5346.822724,1797.972314,9484.799544
500000,5459.986971,1835.823893,9685.442692
510000,5572.469511,1873.798204,9886.017630
520000,5684.390887,1911.601201,10084.794323
530000,5796.588269,1949.560374,10284.064680
540000,5908.713573,1987.454244,10482.985348
550000,6021.180840,2025.469050,10682.905881
560000,6135.744648,2063.906266,10890.529608
570000,6248.348160,2101.831892,11093.252608
580000,6360.388517,2139.603319,11294.160410
590000,6469.511163,2176.205752,11488.435476
600000,6577.075027,2212.273787,11678.890116
610000,6684.822597,2248.387600,11869.241238
620000,6793.435266,2284.524546,12058.892215
630000,6900.745983,2320.484957,12246.799122
640000,7007.899391,2356.416596,12434.836135
650000,7115.180902,2392.425287,12624.730367
660000,7222.654119,2428.464406,12813.750260
670000,7332.535092,2465.319660,13010.548434
680000,7441.649969,2502.119977,13205.264734
690000,7554.686399,2540.556087,13408.465961
700000,7666.409844,2578.488663,13608.989825
710000,7777.819488,2616.494744,13808.659323
720000,7889.283612,2654.456401,14007.214621
730000,8000.630355,2692.359866,14205.396660
740000,8112.337907,2730.388578,14404.972518
750000,8223.996321,2768.350941,14604.846683
760000,8335.366057,2806.224556,14804.344561
770000,8449.747771,2844.807577,15011.649243
780000,8561.256371,2882.696082,15210.797285
790000,8672.928633,2920.684225,15410.508563
800000,8784.388090,2958.679730,15609.674241
810000,8895.797416,2996.627271,15809.577224
820000,9007.171296,3034.599525,16008.431421
830000,9118.743826,3072.617282,16207.655017
840000,9230.187081,3110.590273,16406.973824
850000,9341.958088,3148.506112,16606.907916
860000,9453.572498,3186.484850,16807.024596
870000,9565.190565,3224.476003,17007.229244
880000,9676.425043,3262.349627,17206.028396
890000,9787.710608,3300.191141,17405.391100
900000,9898.872284,3337.933020,17604.314440
910000,10009.759652,3375.602232,17802.995544
920000,10121.515056,3413.638700,18002.460988
930000,10233.116640,3451.590753,18202.067003
940000,10344.687272,3489.402787,18402.004692
950000,10455.115915,3526.690729,18598.071344
960000,10566.404506,3564.585860,18796.305037
970000,10677.906947,3602.482211,18995.729663
980000,10788.810770,3640.186075,19194.134908
990000,10900.129632,3678.044172,19393.464224
1000000,11010.131251,3715.360891,19590.069025
1010000,11116.645810,3751.474099,19779.416217
1020000,11224.775780,3787.972894,19971.765752
1030000,11331.688432,3824.056514,20160.367858
1040000,11437.963408,3860.049422,20347.954952
1050000,11544.301531,3896.021534,20535.521733
1060000,11650.560857,3932.008119,20723.141605
1070000,11756.904040,3968.014669,20910.661086
1080000,11863.414889,4003.999645,21097.962369
1090000,11969.708547,4039.987788,21285.710952
1100000,12075.766974,4075.960680,21474.869077
1110000,12182.188895,4111.997526,21664.004346
1120000,12288.548543,4148.019034,21851.695799
1130000,12394.810510,4184.018098,22039.266920
1140000,12501.111282,4220.005737,22226.826563
1150000,12607.386921,4256.002721,22414.436973
1160000,12713.667513,4292.026354,22602.152963
1170000,12819.966315,4328.014334,22789.649815
1180000,12926.399770,4364.005560,22977.025660
1190000,13032.769820,4399.972679,23164.792076
1200000,13139.002456,4435.936632,23353.711600
1210000,13245.408833,4471.974854,23542.860750
1220000,13351.741118,4507.980695,23730.516547
1230000,13458.061641,4543.993247,23918.198527
1240000,13564.403121,4579.993855,24105.873944
1250000,13670.829865,4616.015634,24293.869651
1260000,13777.277237,4652.024323,24482.014624
1270000,13883.740133,4688.018295,24670.393189
1280000,13990.135910,4724.008815,24859.754276
1290000,14096.542478,4759.976885,25049.769275
1300000,14203.131727,4795.956403,25239.526399
1310000,14309.707387,4831.956611,25428.728336
1320000,14416.248745,4867.960488,25616.373236
1330000,14526.060914,4904.909355,25812.579378
1340000,14635.812258,4942.048390,26009.464574
1350000,14743.342382,4978.520727,26200.096791
1360000,14850.404157,5014.813809,26389.123513
1370000,14961.292934,5052.629920,26585.832832
1380000,15071.812695,5089.934481,26781.199384
1390000,15181.957409,5127.096394,26976.677514
1400000,15294.555425,5165.065601,27179.915099
1410000,15406.901798,5203.111645,27381.885030
1420000,15518.480530,5241.081090,27578.772316
1430000,15630.314945,5278.649380,27775.809368
1440000,15741.780453,5316.012869,27971.596513
1450000,15857.754153,5354.220783,28179.033693
1460000,15967.671833,5391.229438,28372.945345
1470000,16077.666639,5428.230919,28566.940022
1480000,16187.557931,5465.211201,28760.852511
1490000,16297.294472,5502.202222,28954.949284
1500000,16406.749319,5539.216025,29151.377367
1510000,16516.738097,5576.227830,29347.092183
1520000,16627.641529,5613.437396,29544.156587
1530000,16737.841087,5650.477527,29739.070477
1540000,16847.785844,5687.463009,29932.807061
1550000,16957.867500,5724.487948,30126.924083
1560000,17067.952260,5761.518729,30321.086730
1570000,17177.793462,5798.540615,30514.718854
1580000,17289.736229,5836.010347,30714.352325
1590000,17399.451901,5873.007317,30908.643949
1600000,17509.039777,5910.041232,31105.229180
1610000,17618.976959,5947.011587,31300.810109
1620000,17728.970971,5984.021803,31495.221947
1630000,17838.886371,6021.017395,31689.376858
1640000,17948.869551,6058.015345,31883.848031
1650000,18058.623398,6095.022356,32078.037008
1660000,18168.487641,6132.001857,32272.387180
1670000,18278.504062,6169.045649,32467.296332
1680000,18388.220518,6206.048359,32661.548567
1690000,18498.034803,6243.056216,32856.380376
1700000,18607.511725,6280.066208,33052.711717
1710000,18717.443219,6317.077469,33248.480851
1720000,18827.315431,6354.071731,33442.831836
1730000,18937.238859,6391.092146,33637.551624
1740000,19046.980405,6428.135336,33832.237092
1750000,19156.720860,6465.154118,34027.104968
1760000,19266.468266,6502.206130,34222.160933
1770000,19376.150131,6539.188504,34417.172483
1780000,19485.972239,6576.224840,34612.503552
1790000,19595.727621,6613.246266,34807.703302
1800000,19705.180895,6650.254167,35003.987123
1810000,19815.209304,6687.298583,35200.697598
1820000,19925.782741,6724.497144,35397.759169
1830000,20037.072136,6761.900794,35596.223188
1840000,20147.065485,6798.965739,35791.794125
1850000,20256.881893,6835.999245,35987.308070
1860000,20366.681895,6873.047934,36183.119932
1870000,20476.564894,6910.116000,36379.448438
1880000,20586.553153,6947.150493,36576.126003
1890000,20696.252603,6984.161872,36773.703483
1900000,20806.153497,7021.149109,36970.250569
1910000,20916.394342,7058.244474,37167.613886
1920000,21028.408773,7095.701993,37368.150018
1930000,21141.628767,7133.374867,37571.486461
1940000,21251.599575,7170.412616,37767.636417
1950000,21361.603901,7207.435284,37963.942328
1960000,21472.921475,7244.737623,38163.102664
1970000,21587.317304,7282.792911,38369.865037
1980000,21697.316591,7319.777308,38565.022166
1990000,21807.240762,7356.802434,38760.149723
2000000,21917.033481,7393.778494,38954.944683
2010000,22027.042914,7430.796392,39151.336135
2020000,22136.990066,7467.813898,39345.963285
2030000,22246.860885,7504.820682,39540.466565
2040000,22356.861786,7541.867316,39735.447412
2050000,22466.952484,7578.911338,39930.726840
2060000,22576.653875,7615.903975,40125.640832
2070000,22688.616076,7653.371651,40325.904225
2080000,22798.690712,7690.402497,40521.222564
2090000,22908.616674,7727.427844,40716.215625
2100000,23018.597267,7764.469348,40911.828549
2110000,23128.623334,7801.501106,41107.969896
2120000,23238.672104,7838.514534,41302.638621
2130000,23348.672833,7875.550198,41497.328253
2140000,23458.320155,7912.523937,41691.451414
2150000,23568.273045,7949.572229,41886.412761
2160000,23678.193028,7986.606018,42081.455443
2170000,23788.096794,8023.632888,42277.058948
2180000,23897.974158,8060.676204,42473.304446
2190000,24009.423287,8098.051652,42673.812075
2200000,24119.978576,8135.231397,42871.372218
2210000,24230.025197,8172.300634,43068.467214
2220000,24339.966107,8209.405429,43264.771782
2230000,24449.760693,8246.451426,43460.527872
2240000,24559.615928,8283.498973,43656.694561
2250000,24669.582233,8320.559489,43853.204851
2260000,24779.596725,8357.573280,44049.166141
2270000,24889.627213,8394.606651,44245.226089
2280000,24999.760588,8431.642462,44441.463097
2290000,25109.878956,8468.683692,44637.645608
2300000,25219.778576,8505.686355,44833.448216
2310000,25331.672643,8543.175272,45035.057464
2320000,25441.713761,8580.244972,45230.697791
2330000,25551.623146,8617.304645,45426.201116
2340000,25661.253605,8654.339483,45621.250127
2350000,25770.872651,8691.338251,45816.192365
2360000,25880.610742,8728.358443,46011.152213
2370000,25990.441247,8765.352152,46206.428395
2380000,26100.482000,8802.413449,46402.689015
