S0_0,S0_1,S0_2,sigma_0,sigma_1,sigma_2,price,price_se,delta_0,delta_1,delta_2,delta_se_0,delta_se_1,delta_se_2,vega_0,vega_1,vega_2,vega_se_0,vega_se_1,vega_se_2,gamma_0,gamma_1,gamma_2,gamma_se_0,gamma_se_1,gamma_se_2,rho,rho_se,theta,theta_se,T,r
211.35248030844386,153.85922106598312,227.9245048488537,0.15601864044243652,0.15599452033620265,0.05808361216819946,54.28125,0.009452245568597046,2.650390625,0.0,0.0,0.0020740094497744953,0.0,0.0,-40.5625,0.0,0.0,0.30816395798340857,0.0,0.0,-250.75,0.0,0.0,0.19621932881344792,0.0,0.0,inf,,-3.091796875,0.0055488090818267026,2.2857142857142856,0.03
353.0766295285558,105.9063288297547,134.16574595932812,0.6508884729488529,0.056411579027100256,0.7219987722668247,4.12109375,0.002744758187849273,0.0,0.0,0.0,0.0,0.0,0.0,-3.1484375,,-28.046875,0.03800662462814871,,0.11471162212260795,0.0,0.0,0.0,0.0,0.0,0.0,-5.4921875,0.029310361062685666,0.2763671875,0.014951644061983618,3.5714285714285716,0.03
123.31365115142154,126.79673372426828,123.90065846531667,0.5247564316322378,0.43194501864211576,0.2912291401980419,22.75,0.022135943621178655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.5966796875,0.002848520423573548,7.0,0.03
103.86882106918796,145.42321305015676,151.9021597506647,0.6183860093330873,0.38246199126716274,0.9832308858067882,6.51171875,0.002613820128482926,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.26057167919787444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.03
203.09538404304678,249.9850496186514,142.3758814522499,0.9422017556848528,0.5632882178455393,0.3854165025399161,8.9453125,0.009210133685240405,0.0,0.68017578125,0.0,0.0,0.0011667075195425914,0.0,-20.234375,inf,-inf,0.10024420182733762,,,0.0,54.40625,0.0,0.0,0.0933662479164714,0.0,-17.3125,0.13597793938724032,-8.7109375,0.0383821451002937,2.6825396825396823,0.03
162.43061099408706,190.69726805381165,119.98782938547157,0.4401524937396013,0.12203823484477883,0.4951769101112702,17.421875,0.013212391348891009,0.0,0.0,0.0,0.0,0.0,0.0,-14.9375,,-29.234375,0.11977126637887736,,0.1568489719443516,0.0,0.0,0.0,0.0,0.0,0.0,-107.4375,0.37852463592215496,-8.8828125,0.029053426002796985,4.861111111111111,0.03
147.00181873837735,200.30568858963682,87.58507695424325,0.5200680211778108,0.5467102793432796,0.18485445552552704,3.80859375,0.0028954604825916722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-153.75,0.0,0.0,0.4588464884904318,0.0,0.0,0.0,0.0,0.0,0.0,inf,,21.625,0.06652641627579228,1.2857142857142858,0.03
284.6232335609744,183.9178782302118,256.22365245087224,0.9218742350231168,0.0884925020519195,0.1959828624191452,22.53125,0.014912115591231513,0.0,0.0,0.0,0.0,0.0,0.0,-188.125,-inf,,0.34500449272437017,,,0.0,0.0,0.0,0.0,0.0,0.0,inf,,-27.78125,0.054470232696400334,6.349206349206349,0.03
208.8814384209844,229.2390820146243,531.4150493090622,0.965255307264138,0.6070342476866847,0.27599918202254337,26.015625,0.025140107398338614,1.7490234375,0.0,0.0,0.002685465481721116,0.0,0.0,0.0,-inf,,0.0,,,167.5,0.0,0.0,0.2570931737716892,0.0,0.0,-inf,,-0.3857421875,0.0034389769554331122,3.3373015873015874,0.03
281.64932802785387,220.57363469712877,256.99186116748984,0.7290071680409873,0.7712703466859457,0.07404465173409036,17.484375,0.017688990661566872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.75,0.0,0.0,0.495528909348385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,,-0.4853515625,0.0025940558931068737,6.035714285714286,0.03
