h,delta_0,delta_1,delta_2,delta_se_0,delta_se_1,delta_se_2,gamma_0,gamma_1,gamma_2,gamma_se_0,gamma_se_1,gamma_se_2,vega_0,vega_1,vega_2,vega_se_0,vega_se_1,vega_se_2,rho,rho_se,theta,theta_se
1.0,0.14220879319318352,0.3413010706081427,0.13060958276962817,8.277959554804594e-06,1.0917386424700492e-05,7.762606571033284e-06,-0.001301024315432351,-0.0005577876285510214,-0.001129762776041464,1.720950563849503e-07,3.22097785718268e-07,1.4832645338699692e-07,-17.316313408669657,-15.957506122559812,0.3940485378722124,0.015716495154057188,0.01574587744323522,0.041198620860426624,208.29129117345425,0.08047355947364479,1.6884107054714608,0.0009551887197738617
0.7,0.2018802530980826,0.4815062862279397,0.18658019187549235,1.185862455287874e-05,1.5632210788457603e-05,1.1088842583081832e-05,-0.0026377552718325455,-0.0012503014608697682,-0.0023058394781052846,3.5143729684692724e-07,6.576744786288283e-07,3.0272062676055633e-07,-18.16336357781472,-18.381280299137348,0.2738305591089799,0.022533963718408323,0.02181095151368708,0.05919291231720404,208.21480398386683,0.11510276105510493,1.5882123517868265,0.0014357031066820874
0.5,0.20697338118728353,0.6355454717656775,0.17470775834965174,1.907295658481076e-05,2.263746533850075e-05,1.6176954797164227e-05,-0.003740501729768835,-0.0026766789906280176,-0.0030015810386171122,7.113487344165124e-07,1.2977593002872533e-06,5.986619686916237e-07,-17.788008175938877,-19.58980060685549,0.30777890415001224,0.03138328682302359,0.030430626457727136,0.08309513650907153,208.30360911097378,0.16123999041691642,1.5164168982073023,0.002062767873263269
0.3,0.1198456725160971,0.7830116961636014,0.07316561105366702,3.619564020891985e-05,4.459885237818309e-05,3.073935426735781e-05,-0.0032994646880575773,-0.004427188074530473,-0.0019663669558829346,2.049978169140601e-06,3.749196740570151e-06,1.718072355572476e-06,-17.02842507264096,-20.79213288281296,0.5705953886365565,0.05196170546658003,0.05114166802613485,0.13875493309179568,208.49201764248372,0.26885428973572223,1.4613314617308417,0.003496964719844739
0.2,0.08107907711317955,0.8329304609079118,0.0426467932155375,5.5854827618169415e-05,7.287548065594851e-05,4.989018935104365e-05,-0.002846819334624522,-0.004993616085359646,-0.0015115897445561342,4.654480378674096e-06,8.643266588064761e-06,3.9554255781498855e-06,-16.686159152267976,-21.306679590190136,0.5651171753539563,0.07774231306677025,0.07713708642921108,0.20824576600516795,208.41077481317132,0.40334963706408083,1.443496597972005,0.0052731270753540735
0.1,0.05791362465744774,0.8642267486161981,0.0270020320962958,0.00011377511012408108,0.00015422306820777384,0.00010462375175489945,-0.0024794476447649134,-0.005220081477443867,-0.0012100284162792623,1.872760172118539e-05,3.51848658186025e-05,1.6059082059513217e-05,-16.80055139292773,-21.58590213661239,0.3127509053450108,0.1552160638298339,0.15490671319553273,0.41661736385648757,208.74464800927703,0.8067503856914957,1.4266737729996892,0.010577710304712426
0.07,0.054104288153461695,0.8694955858840187,0.02445662682503332,0.0001630622802406985,0.00022254800940296933,0.00015060774150020139,-0.002442773048357277,-0.005320733343733038,-0.0012262706352874867,3.826339111366047e-05,7.20479006931433e-05,3.285836423485952e-05,-16.568201610818296,-21.593941748663944,1.1815925743770492,0.22167248386910093,0.22148661772234576,0.5951695304417848,207.30317337145448,1.1524580432442226,1.4057068116426041,0.015117951465382471
0.05,0.0522172757799924,0.8723655928968949,0.0234133112225358,0.0002286250231271222,0.0003130487172619945,0.00021158793165653274,-0.002506669343363194,-0.005517170846593775,-0.0012721969413431486,7.503203177198878e-05,0.00014143314972129412,6.447588773187387e-05,-16.436337850530396,-21.576847689572674,0.5936782205893797,0.3102877242054346,0.31017745174861444,0.83333870126871,206.4796626839538,1.6135121608359377,1.4320128305589908,0.021170451241309077
0.03,0.05104653784166519,0.8741137056727003,0.022523536128792224,0.00038146420744151425,0.0005234252436054486,0.00035349058304836553,-0.0025101270729372613,-0.00567178855556681,-0.0013956519697018409,0.00020849707154347094,0.00039328453630372326,0.00017924015816053306,-16.586971160757116,-20.989278528737167,-0.11477572278434324,0.5171141750600982,0.517058060459919,1.388884301976279,210.32720197458352,2.6891754027037704,1.4603354355411011,0.03528975769127682
0.02,0.051328330575395625,0.8740200500604755,0.02157192211455846,0.00057238782535081,0.0007858476579962297,0.0005305983231846993,-0.002006944312997768,-0.005048104604837752,-0.0010399970765821993,0.00046912605562373944,0.0008850720451802059,0.0004033437062027649,-15.890374839746057,-21.56050776515796,-1.9698505860418671,0.7756304924736294,0.7757656692053431,2.0833736347489,206.89892726636575,4.033871129802786,1.4337296183955628,0.052936765643155144
